"mean","sd","2.5%","50%","97.5%","Rhat","n.eff","param","model","sp"
"D[1]1",2.35,0.401,1.664,2.309,3.239,1.02,140,"D[1]","SCR_allgrids","GLSA"
"D[2]1",2.6,0.414,1.879,2.577,3.49,1.01,405,"D[2]","SCR_allgrids","GLSA"
"D[3]1",3.202,0.449,2.416,3.168,4.17,1.01,259,"D[3]","SCR_allgrids","GLSA"
"D[4]1",1.34,0.379,0.716,1.306,2.201,1,5772,"D[4]","SCR_allgrids","GLSA"
"D[5]1",1.698,0.339,1.092,1.664,2.434,1,1248,"D[5]","SCR_allgrids","GLSA"
"D[6]1",2.554,0.449,1.772,2.523,3.526,1,964,"D[6]","SCR_allgrids","GLSA"
"D[7]1",2.037,0.369,1.378,2.004,2.828,1,3865,"D[7]","SCR_allgrids","GLSA"
"D[8]1",2.545,0.408,1.808,2.523,3.436,1,6000,"D[8]","SCR_allgrids","GLSA"
"D[9]",1.266,0.354,0.68,1.235,2.04,1.01,512,"D[9]","SCR_allgrids","GLSA"
"lam02",0.162,0.006,0.151,0.162,0.175,1,5346,"lam0","SCR_allgrids","TATO"
"sigma2",33.833,0.556,32.757,33.826,34.911,1,793,"sigma","SCR_allgrids","TATO"
"psim[1]2",0.104,0.019,0.07,0.103,0.144,1,6000,"psim[1]","SCR_allgrids","TATO"
"psim[2]2",0.195,0.025,0.151,0.194,0.246,1,5192,"psim[2]","SCR_allgrids","TATO"
"psim[3]2",0.206,0.025,0.16,0.205,0.258,1,3718,"psim[3]","SCR_allgrids","TATO"
"psim[4]2",0.138,0.024,0.095,0.137,0.188,1,1932,"psim[4]","SCR_allgrids","TATO"
"psim[5]2",0.29,0.03,0.234,0.29,0.353,1.01,198,"psim[5]","SCR_allgrids","TATO"
"psim[6]2",0.073,0.016,0.045,0.072,0.108,1,1424,"psim[6]","SCR_allgrids","TATO"
"psim[7]2",0.3,0.032,0.24,0.299,0.366,1,636,"psim[7]","SCR_allgrids","TATO"
"psim[8]2",0.387,0.036,0.319,0.386,0.461,1,1160,"psim[8]","SCR_allgrids","TATO"
"psim[9]1",0.427,0.042,0.348,0.426,0.512,1,2710,"psim[9]","SCR_allgrids","TATO"
"N[1]2",109.908,17.538,79,109,147,1,6000,"N[1]","SCR_allgrids","TATO"
"N[2]2",205.977,23.324,164,205,255,1,6000,"N[2]","SCR_allgrids","TATO"
"N[3]2",217.907,23.689,175,217,267,1,3502,"N[3]","SCR_allgrids","TATO"
"N[4]2",145.836,22.791,105,144,194,1,2847,"N[4]","SCR_allgrids","TATO"
"N[5]2",307.598,28.151,255,307,366,1.01,209,"N[5]","SCR_allgrids","TATO"
"N[6]2",76.795,14.991,51,76,109,1,1478,"N[6]","SCR_allgrids","TATO"
"N[7]2",318,30.29,263,317,380,1,679,"N[7]","SCR_allgrids","TATO"
"N[8]2",409.601,34.519,346,409,480,1,1050,"N[8]","SCR_allgrids","TATO"
"N[9]1",452.211,41.441,374,451,538,1,2936,"N[9]","SCR_allgrids","TATO"
"D[1]2",2.105,0.336,1.513,2.087,2.815,1,6000,"D[1]","SCR_allgrids","TATO"
"D[2]2",3.944,0.447,3.14,3.925,4.883,1,6000,"D[2]","SCR_allgrids","TATO"
"D[3]2",4.173,0.454,3.351,4.155,5.113,1,3502,"D[3]","SCR_allgrids","TATO"
"D[4]2",2.793,0.436,2.011,2.757,3.715,1,2847,"D[4]","SCR_allgrids","TATO"
"D[5]2",5.89,0.539,4.883,5.879,7.008,1.01,209,"D[5]","SCR_allgrids","TATO"
"D[6]2",1.471,0.287,0.977,1.455,2.087,1,1478,"D[6]","SCR_allgrids","TATO"
"D[7]2",6.089,0.58,5.036,6.07,7.276,1,679,"D[7]","SCR_allgrids","TATO"
"D[8]2",7.843,0.661,6.625,7.832,9.191,1,1050,"D[8]","SCR_allgrids","TATO"
"D[9]1",8.659,0.794,7.161,8.636,10.302,1,2936,"D[9]","SCR_allgrids","TATO"
